Store,Date,Dept,Temperature,Fuel_Price,CPI,Unemployment,Weekly_Sales,IsHoliday
1,2010/2/5,1,42.31,2.572,211.0963582,8.106,24924.5,0
1,2010/2/5,2,42.31,2.572,211.0963582,8.106,50605.27,0
1,2010/2/5,3,42.31,2.572,211.0963582,8.106,13740.12,0
1,2010/2/5,4,42.31,2.572,211.0963582,8.106,39954.04,0
1,2010/2/5,5,42.31,2.572,211.0963582,8.106,32229.38,0
1,2010/2/5,6,42.31,2.572,211.0963582,8.106,5749.03,0
1,2010/2/5,7,42.31,2.572,211.0963582,8.106,21084.08,0
1,2010/2/5,8,42.31,2.572,211.0963582,8.106,40129.01,0
1,2010/2/5,9,42.31,2.572,211.0963582,8.106,16930.99,0
1,2010/2/5,10,42.31,2.572,211.0963582,8.106,30721.5,0
1,2010/2/5,11,42.31,2.572,211.0963582,8.106,24213.18,0
1,2010/2/5,12,42.31,2.572,211.0963582,8.106,8449.54,0
1,2010/2/5,13,42.31,2.572,211.0963582,8.106,41969.29,0
1,2010/2/5,14,42.31,2.572,211.0963582,8.106,19466.91,0
1,2010/2/5,16,42.31,2.572,211.0963582,8.106,10217.55,0
1,2010/2/5,17,42.31,2.572,211.0963582,8.106,13223.76,0
1,2010/2/5,18,42.31,2.572,211.0963582,8.106,4729.5,0
1,2010/2/5,19,42.31,2.572,211.0963582,8.106,1947.05,0
1,2010/2/5,20,42.31,2.572,211.0963582,8.106,5034.1,0
1,2010/2/5,21,42.31,2.572,211.0963582,8.106,8907.63,0
1,2010/2/5,22,42.31,2.572,211.0963582,8.106,13623.98,0
1,2010/2/5,23,42.31,2.572,211.0963582,8.106,24146.49,0
1,2010/2/5,24,42.31,2.572,211.0963582,8.106,8272.9,0
1,2010/2/5,25,42.31,2.572,211.0963582,8.106,11609.5,0
1,2010/2/5,26,42.31,2.572,211.0963582,8.106,11737.12,0
1,2010/2/5,27,42.31,2.572,211.0963582,8.106,2293,0
1,2010/2/5,28,42.31,2.572,211.0963582,8.106,1085.29,0
1,2010/2/5,29,42.31,2.572,211.0963582,8.106,7024.95,0
1,2010/2/5,30,42.31,2.572,211.0963582,8.106,5491,0
1,2010/2/5,31,42.31,2.572,211.0963582,8.106,3455.92,0
1,2010/2/5,32,42.31,2.572,211.0963582,8.106,11875.84,0
1,2010/2/5,33,42.31,2.572,211.0963582,8.106,8589.77,0
1,2010/2/5,34,42.31,2.572,211.0963582,8.106,14350.83,0
1,2010/2/5,35,42.31,2.572,211.0963582,8.106,2770,0
1,2010/2/5,36,42.31,2.572,211.0963582,8.106,120,0
1,2010/2/5,37,42.31,2.572,211.0963582,8.106,3438.16,0
1,2010/2/5,38,42.31,2.572,211.0963582,8.106,115564.35,0
1,2010/2/5,40,42.31,2.572,211.0963582,8.106,66780.63,0
1,2010/2/5,41,42.31,2.572,211.0963582,8.106,1011.83,0
1,2010/2/5,42,42.31,2.572,211.0963582,8.106,8366.71,0
1,2010/2/5,44,42.31,2.572,211.0963582,8.106,4674.75,0
1,2010/2/5,45,42.31,2.572,211.0963582,8.106,37.44,0
1,2010/2/5,46,42.31,2.572,211.0963582,8.106,20837.77,0
1,2010/2/5,47,42.31,2.572,211.0963582,8.106,70,0
1,2010/2/5,48,42.31,2.572,211.0963582,8.106,814,0
1,2010/2/5,49,42.31,2.572,211.0963582,8.106,11501.46,0
1,2010/2/5,51,42.31,2.572,211.0963582,8.106,1.16,0
1,2010/2/5,52,42.31,2.572,211.0963582,8.106,3508.04,0
1,2010/2/5,54,42.31,2.572,211.0963582,8.106,439,0
1,2010/2/5,55,42.31,2.572,211.0963582,8.106,21249.31,0
1,2010/2/5,56,42.31,2.572,211.0963582,8.106,2567.36,0
1,2010/2/5,58,42.31,2.572,211.0963582,8.106,7659.97,0
1,2010/2/5,59,42.31,2.572,211.0963582,8.106,1409.34,0
1,2010/2/5,60,42.31,2.572,211.0963582,8.106,1416.8,0
1,2010/2/5,67,42.31,2.572,211.0963582,8.106,8414.14,0
1,2010/2/5,71,42.31,2.572,211.0963582,8.106,5421.14,0
1,2010/2/5,72,42.31,2.572,211.0963582,8.106,98499.12,0
1,2010/2/5,74,42.31,2.572,211.0963582,8.106,12251.94,0
1,2010/2/5,79,42.31,2.572,211.0963582,8.106,46729.77,0
1,2010/2/5,80,42.31,2.572,211.0963582,8.106,15694.17,0
1,2010/2/5,81,42.31,2.572,211.0963582,8.106,30052.75,0
1,2010/2/5,82,42.31,2.572,211.0963582,8.106,19484.03,0
1,2010/2/5,83,42.31,2.572,211.0963582,8.106,5711.19,0
1,2010/2/5,85,42.31,2.572,211.0963582,8.106,3825.78,0
1,2010/2/5,87,42.31,2.572,211.0963582,8.106,35972.49,0
1,2010/2/5,90,42.31,2.572,211.0963582,8.106,76419.47,0
1,2010/2/5,91,42.31,2.572,211.0963582,8.106,62424.14,0
