Store,Date,Dept,Temperature,Fuel_Price,CPI,Unemployment,Weekly_Sales,IsHoliday
1,02/05/10,1,42.31,2.57,211.1,8.11,24924.5,0
1,02/05/10,2,42.31,2.57,211.1,8.11,50605.27,0
1,02/05/10,3,42.31,2.57,211.1,8.11,13740.12,0
1,02/05/10,6,42.31,2.57,211.1,8.11,5749.03,0
1,02/05/10,9,42.31,2.57,211.1,8.11,16930.99,0
1,02/05/10,11,42.31,2.57,211.1,8.11,24213.18,0
1,02/05/10,12,42.31,2.57,211.1,8.11,8449.54,0
1,02/05/10,13,42.31,2.57,211.1,8.11,41969.29,0
1,02/05/10,14,42.31,2.57,211.1,8.11,19466.91,0
1,02/05/10,16,42.31,2.57,211.1,8.11,10217.55,0
1,02/05/10,18,42.31,2.57,211.1,8.11,4729.5,0
1,02/05/10,21,42.31,2.57,211.1,8.11,8907.63,0
1,02/05/10,22,42.31,2.57,211.1,8.11,13623.98,0
1,02/05/10,23,42.31,2.57,211.1,8.11,24146.49,0
1,02/05/10,25,42.31,2.57,211.1,8.11,11609.5,0
1,02/05/10,26,42.31,2.57,211.1,8.11,11737.12,0
1,02/05/10,27,42.31,2.57,211.1,8.11,2293,0
1,02/05/10,31,42.31,2.57,211.1,8.11,3455.92,0
1,02/05/10,32,42.31,2.57,211.1,8.11,11875.84,0
1,02/05/10,33,42.31,2.57,211.1,8.11,8589.77,0
1,02/05/10,36,42.31,2.57,211.1,8.11,120,0
1,02/05/10,37,42.31,2.57,211.1,8.11,3438.16,0
1,02/05/10,38,42.31,2.57,211.1,8.11,115564.35,0
1,02/05/10,40,42.31,2.57,211.1,8.11,66780.63,0
1,02/05/10,41,42.31,2.57,211.1,8.11,1011.83,0
1,02/05/10,44,42.31,2.57,211.1,8.11,4674.75,0
1,02/05/10,45,42.31,2.57,211.1,8.11,37.44,0
1,02/05/10,46,42.31,2.57,211.1,8.11,20837.77,0
1,02/05/10,48,42.31,2.57,211.1,8.11,814,0
1,02/05/10,49,42.31,2.57,211.1,8.11,11501.46,0
1,02/05/10,52,42.31,2.57,211.1,8.11,3508.04,0
1,02/05/10,55,42.31,2.57,211.1,8.11,21249.31,0
1,02/05/10,56,42.31,2.57,211.1,8.11,2567.36,0
1,02/05/10,58,42.31,2.57,211.1,8.11,7659.97,0
1,02/05/10,59,42.31,2.57,211.1,8.11,1409.34,0
1,02/05/10,67,42.31,2.57,211.1,8.11,8414.14,0
1,02/05/10,71,42.31,2.57,211.1,8.11,5421.14,0
1,02/05/10,74,42.31,2.57,211.1,8.11,12251.94,0
1,02/05/10,79,42.31,2.57,211.1,8.11,46729.77,0
1,02/05/10,81,42.31,2.57,211.1,8.11,30052.75,0
1,02/05/10,82,42.31,2.57,211.1,8.11,19484.03,0
1,02/05/10,83,42.31,2.57,211.1,8.11,5711.19,0
1,02/05/10,90,42.31,2.57,211.1,8.11,76419.47,0
1,02/05/10,91,42.31,2.57,211.1,8.11,62424.14,0
1,02/05/10,92,42.31,2.57,211.1,8.11,139884.94,0
1,02/05/10,94,42.31,2.57,211.1,8.11,56655.39,0
