Store,Date,Dept,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday,Weekly_Sales
7,111811,45,29,3,195,8,0,5
2,30510,10,47,2,211,8,0,39883
1,22511,21,62,3,213,7,0,7274
3,52110,4,75,2,213,7,0,7061
7,111210,79,22,2,191,9,0,4514
7,121710,6,20,2,191,9,0,11523
4,10711,8,39,2,127,6,0,64561
2,92410,71,81,2,211,8,0,3306
4,61512,25,80,3,130,4,0,16339
2,101510,33,65,2,211,8,0,5939
4,73010,74,80,2,126,7,0,20537
1,42012,71,66,3,221,7,0,1651
6,72211,31,88,3,216,6,0,4022
6,31811,26,65,3,215,6,0,9891
6,31210,47,58,2,212,7,0,60
3,11312,14,51,3,223,6,0,5162
1,42310,10,64,2,210,7,0,29091
1,61011,16,83,3,215,7,0,38098
7,122311,16,12,3,196,8,0,4398
2,62912,8,86,3,221,6,0,62530
6,42712,36,71,3,223,5,0,4260
1,81310,4,87,2,211,7,0,36461
7,110510,59,49,2,191,9,0,77
1,31111,92,53,3,214,7,0,137191
5,100810,96,64,2,212,6,0,4341
6,60311,58,84,3,216,6,0,2500
3,22412,67,60,3,224,6,0,1428
7,40811,79,30,3,192,8,0,5754
1,21012,91,48,3,220,7,1,74070
5,80312,56,86,3,222,5,0,17
2,111910,12,50,2,211,8,0,6997
5,22610,52,46,2,211,6,0,415
6,32610,33,53,2,212,7,0,5834
4,51112,37,67,3,131,4,0,4485
5,120310,27,51,2,212,6,0,622
6,72911,32,90,3,217,6,0,8452
5,51112,87,73,3,222,5,0,11703
1,100512,22,68,3,223,6,0,7821
4,120211,27,38,3,129,5,0,4069
3,80511,44,88,3,218,7,0,2352
6,32312,27,63,3,222,6,0,1509
1,21210,85,38,2,211,8,1,4994
1,11411,58,35,2,211,7,0,570
4,100711,18,65,3,129,5,0,18532
3,92311,91,80,3,219,7,0,509
7,61810,1,52,2,189,8,0,6624
6,72310,1,83,2,212,6,0,19162
5,61711,45,86,3,215,6,0,34
2,21111,28,33,3,212,8,1,1110
5,70612,87,82,3,222,5,0,13099
6,81012,67,87,3,223,5,0,8877
6,22610,49,47,2,212,7,0,17095
7,11312,35,7,3,196,8,0,277
3,92112,20,72,3,226,6,0,1931
1,60112,56,77,3,221,7,0,5118
6,21910,37,43,2,212,7,0,5178
3,90211,4,89,3,219,7,0,8773
5,42712,87,68,3,222,5,0,10825
4,43010,72,53,2,126,7,0,73369
2,31910,93,54,2,210,8,0,63191
1,123011,71,44,3,219,7,1,4031
4,42911,82,64,3,129,5,0,24816
2,42712,26,67,3,221,6,0,9059
5,40210,4,63,2,211,6,0,10896
3,42911,3,78,3,219,7,0,3421
1,20312,82,56,3,220,7,0,20420
1,121710,32,49,2,211,7,0,20124
4,61011,14,80,3,129,5,0,26511
6,90911,23,80,3,217,6,1,21178
6,61110,98,81,2,212,7,0,8390
7,22511,95,17,3,191,8,0,35566
2,40910,85,65,2,210,8,0,3534
1,62510,3,84,2,211,7,0,6591
6,72012,42,81,3,223,5,0,9667
1,22610,93,46,2,211,8,0,57630
4,62411,41,81,3,129,5,0,350
1,31111,11,53,3,214,7,0,18717
3,71511,71,87,3,218,7,0,1347
4,102910,79,56,2,126,7,0,47857
4,31811,95,51,3,128,6,0,146602
3,82010,85,88,2,214,7,0,1154
5,80511,56,91,3,216,6,0,2
5,30411,3,60,3,214,6,0,3483
1,110411,10,54,3,217,7,0,31588
1,72211,54,85,3,215,7,0,60
4,123110,35,38,2,127,7,1,3772
7,51410,55,41,2,189,8,0,5108
2,51812,82,71,3,221,6,0,25123
6,10711,96,47,2,212,6,0,18817
7,10612,91,18,3,196,8,0,20047
4,31111,81,50,3,128,6,0,30109
3,43010,40,70,2,213,7,0,17418
1,101510,59,67,2,211,7,0,447
2,81911,34,89,3,215,7,0,18182
4,62510,81,81,2,126,7,0,28620
1,120310,6,49,2,211,7,0,6356
6,100810,35,65,2,213,7,0,2731
3,92410,60,76,2,214,7,0,158
5,42012,92,67,3,222,5,0,8127
4,81012,95,83,3,130,4,0,166720
5,122311,28,50,3,219,6,0,262
7,43010,19,38,2,189,8,0,248
2,20510,81,40,2,210,8,0,32543
4,83112,96,76,3,130,4,0,47453
1,40612,82,70,3,221,7,0,22840
1,110411,91,54,3,217,7,0,62223
7,100110,9,49,2,190,9,0,19683
3,22511,35,67,3,216,7,0,1395
7,72211,71,56,3,193,8,0,3056
1,42310,37,64,2,210,7,0,2783
4,51311,30,70,3,129,5,0,7742
1,122311,81,47,3,219,7,0,31972
6,62912,28,87,3,223,5,0,296
5,42310,40,65,2,210,6,0,19405
1,71511,16,88,3,215,7,0,25134
3,31811,42,69,3,217,7,0,3423
4,72911,48,84,3,129,5,0,1613
6,40612,16,71,3,223,5,0,70483
4,92410,21,60,2,126,7,0,8995
7,21712,82,27,3,196,8,0,9928
2,32511,67,69,3,214,8,0,8291
2,61011,46,83,3,214,7,0,34482
1,70111,10,85,3,215,7,0,29583
5,61512,27,81,3,222,5,0,387
2,32312,20,64,3,220,7,0,5641
1,32312,49,65,3,221,7,0,10766
2,20510,83,40,2,210,8,0,6263
2,52810,49,81,2,210,8,0,12623
5,30912,97,57,3,221,5,0,630
